               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090444,            0.059463,            0.071199,             0.42566,            0.084817,            0.040952,            0.015578,             0.07075,            0.071646,            0.056662,            0.070199,           0.0033113,           0.0033113
                   1,            0.068226,            0.052442,            0.054342,             0.60966,              0.1472,            0.097401,            0.037674,            0.061598,            0.069333,             0.04667,            0.039541,           0.0059868,           0.0059868
                   2,             0.06407,            0.051079,              0.0467,             0.73787,              0.1408,             0.12937,            0.057017,             0.05481,              0.0699,            0.041473,            0.008223,           0.0080023,           0.0080023
                   3,            0.056941,            0.049287,            0.041314,             0.73546,             0.17588,             0.19132,            0.085521,            0.051027,            0.069834,            0.036641,             0.00703,             0.00703,             0.00703
                   4,            0.053372,            0.049659,            0.038089,             0.79294,             0.18139,             0.21168,            0.097748,            0.049697,            0.069886,            0.034185,             0.00703,             0.00703,             0.00703
                   5,            0.048913,             0.04995,            0.035149,             0.88017,             0.18989,             0.23638,             0.12882,            0.044301,            0.069829,            0.032204,             0.00604,             0.00604,             0.00604
                   6,            0.045512,            0.047376,            0.033108,             0.88653,             0.20317,              0.2524,             0.13627,            0.043441,            0.070812,            0.031538,             0.00505,             0.00505,             0.00505
                   7,            0.043546,            0.046734,            0.031622,             0.84604,             0.23058,             0.27523,             0.15589,            0.040818,            0.068839,            0.029628,             0.00406,             0.00406,             0.00406
                   8,            0.041328,            0.044868,            0.029802,             0.87283,             0.21088,             0.28135,             0.15441,            0.043287,            0.070322,            0.028643,             0.00307,             0.00307,             0.00307
                   9,            0.040124,            0.044942,             0.02884,             0.60383,             0.30341,             0.30474,              0.1794,            0.039949,            0.069456,            0.028069,             0.00208,             0.00208,             0.00208
